model,question,style,tokens_in,tokens_out,cost_in_usd,cost_out_usd,cost_usd,response_preview,latency_ms
qwen3-8b,jwt_auth,baseline,20,3078,1.138475896770005e-06,0.00140169152410323,0.00140283,"JWT (JSON Web Token) is a compact, URL-safe means of representing claims to be transferred between two parties. It consists of three parts: **Header**",49431
qwen3-8b,jwt_auth,caveman,35,638,2.0049571901148083e-06,0.00029238004280988516,0.000294385,"JWT is token. When user login, server make token. Token has 3 parts: header, payload, signature. Header says what is inside. Payload has user data. Si",13098
qwen3-8b,jwt_auth,telegraph,65,678,3.25e-06,0.0002712,0.00027445,"- client sends req with credentials → server checks db (auth)   - server generates jwt (impl) with header, payload, signature (cfg)   - jwt contains u",9346
qwen3-8b,jwt_auth,minimal,41,794,2.3476844986704205e-06,0.0003637193155013295,0.000366067,"JWT (JSON Web Token) authentication involves three steps:   1. **Token Generation**: The server creates a token with user claims (e.g., user ID) and s",10384
qwen3-8b,jwt_auth,structured,55,762,2.7500000000000004e-06,0.00030480000000000004,0.00030755,"ANSWER: JWT authentication uses a token containing user data and a signature to authenticate requests.   STEPS:   1. User authenticates, server verifi",12121
qwen3-8b,jwt_auth,bullets,43,995,2.459516181431963e-06,0.00045529648381856805,0.000457756,"- User sends credentials to server   - Server verifies credentials, generates JWT   - JWT includes header, payload, signature   - Client stores token,",18017
qwen3-8b,jwt_auth,ultrashort,35,431,1.7500000000000002e-06,0.00017240000000000002,0.00017415,"JWT authentication works by generating a signed token containing user claims, which is sent to the client and validated by the server on subsequent re",5930
qwen3-8b,jwt_auth,yoda,40,1183,2e-06,0.0004732,0.0004752,"Works JWT authentication by creating token, which contains user data and signature. Verified user credentials after token is generated by server. Sent",16224
qwen3-8b,sql_explain,baseline,20,1525,1.139468085106383e-06,0.0006950755319148936,0.000696215,A **database index** is a data structure that improves the speed of data retrieval operations on a database table. It works similarly to an index in a,18129
qwen3-8b,sql_explain,caveman,35,317,2.0192726565538704e-06,0.00014631072734344616,0.00014833,index is list of words to find data fast.   use when search often.   don't use when update often.   use on columns used in where or join.,4833
qwen3-8b,sql_explain,telegraph,65,578,3.751050330560887e-06,0.0002668439496694391,0.000270595,- Index: db data structure → faster lookups   - Use when: frequent searches → faster queries   - Use when: joins → faster joins   - Use when: sorting ,6791
qwen3-8b,sql_explain,minimal,41,492,2.05e-06,0.00019680000000000004,0.00019885,"A database index is a data structure that improves query speed by enabling faster data retrieval. Use indexes on columns frequently used in WHERE, JOI",8104
qwen3-8b,sql_explain,structured,55,320,2.75e-06,0.000128,0.00013075,ANSWER: A database index is a data structure that improves query speed by enabling faster data retrieval. | STEPS: 1. Define index as a reference for ,5256
qwen3-8b,sql_explain,bullets,43,357,2.4839730941704034e-06,0.0001649820269058296,0.000167466,"- Database index speeds up data retrieval.   - Use for frequent queries on specific columns.   - Enhances WHERE, JOIN, and ORDER BY performance.   - E",4352
qwen3-8b,sql_explain,ultrashort,35,491,1.75e-06,0.0001964,0.00019815,"A database index is a data structure that improves the speed of data retrieval operations on a database table, and should be used when querying freque",8573
qwen3-8b,sql_explain,yoda,40,342,2.0000000000000003e-06,0.00013680000000000002,0.0001388,"Is what a database index, and use one when should you?",5078
qwen3-8b,debug_task,baseline,22,2393,1.1000000000000003e-06,0.0009572000000000001,0.0009583,"When a Python function unexpectedly returns `None`, it's often due to one of several common issues. Here's a structured breakdown of the most likely c",31852
qwen3-8b,debug_task,caveman,37,558,1.85e-06,0.0002232,0.00022505,Function returns None? Here's why:  - No return statement.   - Return in wrong place.   - Variable not assigned.   - Function not called.   - Print in,8544
qwen3-8b,debug_task,telegraph,67,728,3.856440841962315e-06,0.00033522255915803767,0.000339079,fn missing return → None   fn return in conditional not always hit → None   fn function not returning anything → None   err unhandled exception → None,8535
qwen3-8b,debug_task,minimal,43,658,2.1499999999999997e-06,0.0002632,0.00026535,1. Missing return statement.   2. Return in unreachable code.   3. Print instead of return.   4. Conditional branches not triggered.,11731
qwen3-8b,debug_task,structured,57,415,2.8500000000000002e-06,0.00016600000000000002,0.00016885,"ANSWER: Common causes include missing return statements, accidental None returns, or using print instead of return.   STEPS: 1. Check for missing retu",5726
qwen3-8b,debug_task,bullets,45,571,2.25e-06,0.0002284,0.00023065,- Missing return statement   - Return inside conditional not always hit   - Using print instead of return   - Function not called correctly   - Code s,8610
qwen3-8b,debug_task,ultrashort,37,458,2.1266152391245613e-06,0.00021059238476087546,0.000212719,"Missing return statement, return in conditional not covering all paths, using print instead of return, function calls that return None (e.g., list met",5645
qwen3-8b,debug_task,yoda,42,626,2.1e-06,0.0002504,0.0002525,"Function lacks return statement. Return statement missing. Function does not reach return. By default, function returns None. Return statement has typ",10099
qwen3-8b,design_q,baseline,17,2416,8.499999999999999e-07,0.0009664,0.00096725,"REST (Representational State Transfer) and GraphQL are both approaches to building APIs, but they differ significantly in their design principles, usa",35247
qwen3-8b,design_q,caveman,32,614,1.6e-06,0.0002456,0.0002472,"REST: URLs, GET/POST, full data.   GraphQL: Ask, pick what you want, one call.",10269
